Fund,Alcohol,Tobacco,Gambling,Defense/ Weapons,Animal Testing,Products/ Services,Environment,Human Rights,Labor Relations,Employment/ Equality,Community Investment,Proxy Voting
Access Capital Strategies Community Investment Fund[26],NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,P,X
AHA Balanced Fund – Institutional Class,NS,X,NS,NS,NS,NS,NS,NS,NS,NS,NS,V
AHA Diversified Equity Fund – Institutional Class,NS,X,NS,NS,NS,NS,NS,NS,NS,NS,NS,V
AHA Diversified Equity Fund – N Class,NS,X,NS,NS,NS,NS,NS,NS,NS,NS,NS,V
AHA Full Maturity Fixed Income Fund – Institutional Class,NS,X,NS,NS,NS,NS,NS,NS,NS,NS,NS,V
AHA Full Maturity Fixed Income Fund – N Class,NS,X,NS,NS,NS,NS,NS,NS,NS,NS,NS,V
AHA Limited Maturity Fixed Income Fund – Institutional Class,NS,X,NS,NS,NS,NS,NS,NS,NS,NS,NS,V
AHA Limited Maturity Fixed Income Fund – N Class,NS,X,NS,NS,NS,NS,NS,NS,NS,NS,NS,V
AHA Socially Responsible Equity I,X,X,X,X,NS,P,P,P,P,P,NS,V
AHA Socially Responsible Equity N,X,X,X,X,NS,P,P,P,P,P,NS,V
Appleseed Fund[1],R,R,R,R,NS,NS,P,P,P,NS,P,V
Ariel Appreciation Fund [2],NS,X,NS,X,NS,NS,NS,NS,NS,NS,NS,V
Ariel Focus Fund,NS,X,NS,X,NS,NS,NS,NS,NS,NS,NS,V
Ariel Fund,NS,X,NS,X,NS,NS,NS,NS,NS,NS,NS,V
Azzad Ethical Income Fund [3],X,X,X,X,NS,NS,NS,NS,NS,NS,NS,V
Azzad Ethical Mid Cap Fund,X,X,X,X,NS,NS,NS,NS,NS,NS,NS,V
Brighter Student Fund [4],X,X,X,X,X,X,X,X,X,P,X,X
Fund',Alcohol,Tobacco,Gambling,Defense/ Weapons,Animal Testing,Products/ Services,Environment,Human Rights,Labor Relations,Employment/ Equality,Community Investment,Proxy Voting
Calvert Aggressive Allocation Fund [5],X,X,X,R,R,P,P,P,P,P,P,V
Calvert Capital Accumulation A [6],X,X,X,R,R,P,P,P,P,P,P,V
Calvert Capital Accumulation B [7],X,X,X,R,R,P,P,P,P,P,P,V
Calvert Capital Accumulation C [8],X,X,X,R,R,P,P,P,P,P,P,V
Calvert Conservative Allocation Fund [9],X,X,X,R,R,P,P,P,P,P,P,V
Calvert Global Alternative Energy Fund A [10],NS,NS,NS,NS,NS,P,P,P,P,P,NS,V
Calvert Global Water Fund [11],X,NS,NS,X,NS,X,NS,P,NS,NS,NS,V
Calvert International Opportunities Fund [12],R,R,NS,NS,NS,P,P,P,P,P,NS,V
Calvert Large Cap Growth A,X,X,X,R,R,P,P,P,P,P,P,V
Calvert Large Cap Growth B,X,X,X,R,R,P,P,P,P,P,P,V
Calvert Large Cap Growth C,X,X,X,R,R,P,P,P,P,P,P,V
Calvert Large Cap Growth I,X,X,X,R,R,P,P,P,P,P,P,V
Calvert Mid Cap Value Fund,X,X,X,R,R,P,P,P,P,P,P,V
Calvert Moderate Allocation Fund,X,X,X,R,R,P,P,P,P,P,P,V
Calvert New Vision Small Cap A,X,X,X,R,R,P,P,P,P,P,P,V
Calvert New Vision Small Cap B,X,X,X,R,R,P,P,P,P,P,P,V
Calvert New Vision Small Cap C,X,X,X,R,R,P,P,P,P,P,P,V
Fund',Alcohol,Tobacco,Gambling,Defense/ Weapons,Animal Testing,Products/ Services,Environment,Human Rights,Labor Relations,Employment/ Equality,Community Investment,Proxy Voting
Calvert Small Cap Value Fund,X,X,X,R,R,P,P,P,P,P,P,V
Calvert Social Index A,X,X,X,R,R,P,P,P,P,P,P,V
Calvert Social Index B,X,X,X,R,R,P,P,P,P,P,P,V
Calvert Social Index C,X,X,X,R,R,P,P,P,P,P,P,V
Calvert Social Index I,X,X,X,R,R,P,P,P,P,P,P,V
Calvert Social Investment Balanced A,X,X,X,R,R,P,P,P,P,P,P,V
Calvert Social Investment Balanced C,X,X,X,R,R,P,P,P,P,P,P,V
Calvert Social Investment Bond A,X,X,X,R,R,P,P,P,P,P,P,V
Calvert Social Investment Enhanced Equity A,X,X,X,R,R,P,P,P,P,P,P,V
Calvert Social Investment Enhanced Equity B,X,X,X,R,R,P,P,P,P,P,P,V
Calvert Social Investment Enhanced Equity C,X,X,X,R,R,P,P,P,P,P,P,V
Calvert Social Investment Equity A,X,X,X,R,R,P,P,P,P,P,P,V
Calvert Social Investment Equity C,X,X,X,R,R,P,P,P,P,P,P,V
Calvert Social Investment Equity I,X,X,X,R,R,P,P,P,P,P,P,V
Calvert World Values International A,X,X,NS,R,NS,P,P,P,P,P,P,V
Calvert World Values International C,X,X,NS,R,NS,P,P,P,P,P,P,V
CRA Qualified Investment [13],NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,P,X
Fund',Alcohol,Tobacco,Gambling,Defense/ Weapons,Animal Testing,Products/ Services,Environment,Human Rights,Labor Relations,Employment/ Equality,Community Investment,Proxy Voting
Domini European PacAsia Social Equity A [14],X,X,X,X,NS,P,P,P,P,P,NS,V
Domini European PacAsia Social Equity I [15],X,X,X,X,P,P,P,P,P,P,NS,V
Domini European Social Equity A,X,X,X,X,NS,P,P,P,P,P,NS,V
Domini European Social Equity I,X,X,X,X,NS,P,P,P,P,P,NS,V
Domini Institutional Social Equity,X,X,X,X,NS,P,P,P,P,P,NS,V
Domini PacAsia Social Equity A,X,X,X,X,NS,P,P,P,P,P,NS,V
Domini PacAsia Social Equity I,X,X,X,X,NS,P,P,P,P,P,NS,V
Domini Social Bond [16],X,X,X,X,NS,P,P,P,P,P,P,V
Domini Social Equity A,X,X,X,X,NS,P,P,P,P,P,NS,V
Domini Social Equity I,X,X,X,X,NS,P,P,P,P,P,NS,V
Epiphany Faith and Family Values 100 Fund – A Class [17][18],R,R,R,R,NS,NS,P,P,P,P,NS,V
Epiphany Faith and Family Values 100 Fund – C Class,R,R,R,R,NS,NS,P,P,P,P,NS,V
Epiphany Faith and Family Values 100 Fund – N Class,R,R,R,R,NS,NS,P,P,P,P,NS,V
Gabelli SRI Green Fund Inc A[27],R,R,R,X,NS,P,P,NS,NS,NS,NS,V
Gabelli SRI Green Fund Inc AAA [27],R,R,R,X,NS,P,P,NS,NS,NS,NS,V
Gabelli SRI Green Fund Inc C,R,R,R,X,NS,P,P,NS,NS,NS,NS,V
Gabelli SRI Green Fund Inc I,R,R,R,X,NS,P,P,NS,NS,NS,NS,V
Green Century Balanced [19],NS,X,NS,R,R,P,P,NS,NS,NS,NS,V
Green Century Equity,X,X,X,R,NS,P,P,P,P,P,NS,V
Integrity Growth and Income Fund [20],X,X,X,NS,R,NS,P,R,R,R,NS,V
Fund',Alcohol,Tobacco,Gambling,Defense/ Weapons,Animal Testing,Products/ Services,Environment,Human Rights,Labor Relations,Employment/ Equality,Community Investment,Proxy Voting
Legg Mason Prt Social Awareness Fund A,NS,R,NS,R,NS,NS,P,P,P,P,NS,V
Legg Mason Prt Social Awareness Fund B,NS,R,NS,R,NS,NS,P,P,P,P,NS,V
Merrion Stockbrokers Social Awareness Fund C,NS,R,NS,R,NS,NS,P,P,P,P,NS,V
Praxis Growth Index Fund A [21],X,X,X,X,NS,P,P,P,P,P,P,V
Praxis Growth Index Fund I,X,X,X,X,NS,P,P,P,P,P,P,V
Praxis Impact Bond Fund A,X,X,X,X,NS,P,P,P,P,P,P,V
Praxis Impact Bond Fund I,X,X,X,X,NS,P,P,P,P,P,P,V
Praxis International Index Fund A,X,X,X,X,NS,P,P,P,P,P,P,V
Praxis International Index Fund I,X,X,X,X,NS,P,P,P,P,P,P,V
Praxis Small Cap Index Fund A,X,X,X,X,NS,P,P,P,P,P,P,V
Praxis Small Cap Index Fund I,X,X,X,X,NS,P,P,P,P,P,P,V
Praxis Value Index Fund A,X,X,X,X,NS,P,P,P,P,P,P,V
Praxis Value Index Fund I,X,X,X,X,NS,P,P,P,P,P,P,V
Neuberger Berman Socially Resp Inv [22],X,X,X,X,R,P,P,P,P,P,NS,V
New Alternatives Fund [23],X,X,X,X,X,P,P,P,P,P,P,X
Fund',Alcohol,Tobacco,Gambling,Defense/ Weapons,Animal Testing,Products/ Services,Environment,Human Rights,Labor Relations,Employment/ Equality,Community Investment,Proxy Voting
Parnassus Core Equity Fund [24],X,X,X,X,R,P,P,P,P,P,NS,V
Parnassus Fund [25],X,X,X,X,R,P,X,P,P,P,P,V
Parnassus Income Fixed Income [26],X,X,X,X,R,P,X,P,P,P,NS,V
Parnassus Mid Cap Fund [27],X,X,X,X,R,P,P,P,P,P,P,V
Parnassus Small Cap Fund,X,X,X,X,R,P,X,P,P,P,P,V
Parnassus Endeavor Fund,X,X,X,X,R,P,X,P,P,P,P,V
Pax World Balanced,R,X,R,R,R,P,P,P,P,P,P,V
Pax World Growth,R,X,R,R,R,P,P,P,P,P,NS,V
Pax World High Yield,R,X,R,R,R,P,P,P,P,P,P,V
Pax World Value Fund – Individual Investor,NS,X,R,X,R,P,P,P,P,P,NS,V
Pax World Value Fund – Institutional Class,NS,X,R,X,R,P,P,P,P,P,NS,V
Pax World Women's Equity Fund – Individual Investor,NS,X,R,X,R,R,R,NS,R,R,NS,V
Pax World Women's Equity Fund – Institutional Class,NS,X,R,X,R,R,R,R,R,R,NS,V
Portfolio 21 [28],NS,X,R,R,R,P,P,R,R,R,P,V
Portfolio 21 Institutional [29],NS,X,R,R,R,P,P,R,R,R,NS,V
Sentinel Sustainable Core Opportunities Fund [30],X,X,X,R,R,P,P,P,P,P,NS,V
Sentinel Sustainable Emerging Companies Fund,X,X,X,R,R,P,P,P,P,P,NS,V
SPDR Gender Diversity Index ETF (SHE),X,X,X,X,X,X,X,P,P,P,NS,V
TIAA-CREF,R,R,R,R,NS,P,P,P,P,P,NS,V
Flex Total Return Utilities Fund [31],X,X,X,X,X,P,P,NS,P,P,NS,V
Vanguard FTSE Social Index Fund [32],X,X,X,X,X,NS,X,X,NS,NS,NS,NS
WVH Ethical Inc. Social Balanced Fund,X,X,R,X,R,P,P,P,P,P,P,V
WVH Ethical Inc. Social Equity Fund,X,X,R,X,R,P,P,P,R,P,X,V
WVH Ethical Inc. Green Growth Fund [33],R,R,R,R,R,P,P,NS,NS,NS,NS,V
xRussell 3000[28],NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,X